,mechanic,year,average_rank,amount
185,Card Drafting,2006,8130.0,36
186,Card Drafting,2007,9056.0,47
187,Card Drafting,2008,7775.0,37
188,Card Drafting,2009,7171.0,51
189,Card Drafting,2010,6019.0,61
190,Card Drafting,2011,5072.0,78
191,Card Drafting,2012,5826.0,85
192,Card Drafting,2013,4824.0,82
193,Card Drafting,2014,6149.0,117
194,Card Drafting,2015,5351.0,138
195,Card Drafting,2016,5501.0,135
196,Card Drafting,2017,5506.0,151
197,Card Drafting,2018,5883.0,125
198,Card Drafting,2019,5675.0,28
199,Card Drafting,2020,11740.0,1
200,Cooperative Play,1981,6168.0,2
201,Cooperative Play,1982,5729.0,2
202,Cooperative Play,1983,13161.0,6
203,Cooperative Play,1984,14794.0,1
204,Cooperative Play,1985,4469.0,1
205,Cooperative Play,1986,10308.0,6
206,Cooperative Play,1987,3582.0,1
207,Cooperative Play,1988,15949.0,1
208,Cooperative Play,1989,4583.0,3
209,Cooperative Play,1990,12646.0,1
210,Cooperative Play,1991,10539.0,6
211,Cooperative Play,1992,12997.0,5
212,Cooperative Play,1993,12442.0,4
213,Cooperative Play,1994,11569.0,9
214,Cooperative Play,1995,9070.0,6
215,Cooperative Play,1996,14992.0,3
216,Cooperative Play,1997,12028.0,4
217,Cooperative Play,1998,9192.0,3
218,Cooperative Play,1999,9192.0,0
219,Cooperative Play,2000,10993.0,7
220,Cooperative Play,2001,13688.0,5
221,Cooperative Play,2002,10335.0,7
222,Cooperative Play,2003,11129.0,9
223,Cooperative Play,2004,8473.0,12
224,Cooperative Play,2005,10138.0,12
225,Cooperative Play,2006,11857.0,4
226,Cooperative Play,2007,9581.0,10
227,Cooperative Play,2008,8616.0,19
228,Cooperative Play,2009,8589.0,21
229,Cooperative Play,2010,6509.0,30
230,Cooperative Play,2011,4659.0,26
231,Cooperative Play,2012,6359.0,38
232,Cooperative Play,2013,7273.0,62
233,Cooperative Play,2014,6079.0,64
234,Cooperative Play,2015,5787.0,108
235,Cooperative Play,2016,5347.0,121
236,Cooperative Play,2017,5027.0,164
237,Cooperative Play,2018,5317.0,143
238,Cooperative Play,2019,6557.0,39
239,Cooperative Play,2020,9986.0,4
240,Dice Rolling,1981,9704.0,29
241,Dice Rolling,1982,9922.0,23
242,Dice Rolling,1983,9532.0,23
243,Dice Rolling,1984,11498.0,22
244,Dice Rolling,1985,9572.0,33
245,Dice Rolling,1986,8233.0,28
246,Dice Rolling,1987,9385.0,28
247,Dice Rolling,1988,10617.0,24
248,Dice Rolling,1989,7185.0,20
249,Dice Rolling,1990,7983.0,27
250,Dice Rolling,1991,9343.0,37
251,Dice Rolling,1992,8339.0,34
252,Dice Rolling,1993,9103.0,42
253,Dice Rolling,1994,7817.0,33
254,Dice Rolling,1995,7823.0,36
255,Dice Rolling,1996,8936.0,29
256,Dice Rolling,1997,9970.0,38
257,Dice Rolling,1998,8745.0,35
258,Dice Rolling,1999,8749.0,37
259,Dice Rolling,2000,8358.0,41
260,Dice Rolling,2001,8150.0,43
261,Dice Rolling,2002,8073.0,54
262,Dice Rolling,2003,8702.0,85
263,Dice Rolling,2004,8484.0,112
264,Dice Rolling,2005,7566.0,115
265,Dice Rolling,2006,8401.0,103
266,Dice Rolling,2007,8550.0,121
267,Dice Rolling,2008,6977.0,146
268,Dice Rolling,2009,6587.0,156
269,Dice Rolling,2010,6853.0,164
270,Dice Rolling,2011,7420.0,201
271,Dice Rolling,2012,7060.0,218
272,Dice Rolling,2013,7259.0,198
273,Dice Rolling,2014,7133.0,232
274,Dice Rolling,2015,6008.0,254
275,Dice Rolling,2016,6319.0,247
276,Dice Rolling,2017,5956.0,264
277,Dice Rolling,2018,6018.0,215
278,Dice Rolling,2019,6069.0,57
279,Dice Rolling,2020,10982.0,2
280,Grid Movement,1981,12840.0,3
281,Grid Movement,1982,3216.0,2
282,Grid Movement,1983,13490.0,1
283,Grid Movement,1984,13020.0,1
284,Grid Movement,1985,3915.0,2
285,Grid Movement,1986,5557.0,5
286,Grid Movement,1987,8660.0,3
287,Grid Movement,1988,7076.0,3
288,Grid Movement,1989,4994.0,3
289,Grid Movement,1990,1145.0,1
290,Grid Movement,1991,10262.0,3
291,Grid Movement,1992,6633.0,7
292,Grid Movement,1993,6958.0,2
293,Grid Movement,1994,336.0,2
294,Grid Movement,1995,6619.0,3
295,Grid Movement,1996,7526.0,3
296,Grid Movement,1997,6283.0,10
297,Grid Movement,1998,8865.0,3
298,Grid Movement,1999,2320.0,9
299,Grid Movement,2000,4944.0,3
300,Grid Movement,2001,3879.0,7
301,Grid Movement,2002,7563.0,7
302,Grid Movement,2003,5647.0,9
303,Grid Movement,2004,4011.0,15
304,Grid Movement,2005,6108.0,11
305,Grid Movement,2006,4934.0,12
306,Grid Movement,2007,7021.0,13
307,Grid Movement,2008,5718.0,19
308,Grid Movement,2009,4688.0,20
309,Grid Movement,2010,3945.0,20
310,Grid Movement,2011,4345.0,30
311,Grid Movement,2012,6061.0,27
312,Grid Movement,2013,5741.0,53
313,Grid Movement,2014,5008.0,49
314,Grid Movement,2015,5962.0,66
315,Grid Movement,2016,5522.0,70
316,Grid Movement,2017,5558.0,68
317,Grid Movement,2018,6340.0,66
318,Grid Movement,2019,6283.0,16
319,Grid Movement,2020,6283.0,0
320,Hand Management,1981,11819.0,3
321,Hand Management,1982,7834.0,5
322,Hand Management,1983,5084.0,5
323,Hand Management,1984,7000.0,3
324,Hand Management,1985,10423.0,5
325,Hand Management,1986,8229.0,5
326,Hand Management,1987,15062.0,4
327,Hand Management,1988,12206.0,7
328,Hand Management,1989,6472.0,5
329,Hand Management,1990,8332.0,9
330,Hand Management,1991,8463.0,8
331,Hand Management,1992,6679.0,12
332,Hand Management,1993,7129.0,13
333,Hand Management,1994,6545.0,18
334,Hand Management,1995,8191.0,21
335,Hand Management,1996,9501.0,26
336,Hand Management,1997,8397.0,27
337,Hand Management,1998,8081.0,31
338,Hand Management,1999,7963.0,33
339,Hand Management,2000,7331.0,35
340,Hand Management,2001,8439.0,36
341,Hand Management,2002,7146.0,49
342,Hand Management,2003,8923.0,75
343,Hand Management,2004,7695.0,86
344,Hand Management,2005,7345.0,88
345,Hand Management,2006,7209.0,90
346,Hand Management,2007,7695.0,88
347,Hand Management,2008,6987.0,105
348,Hand Management,2009,7563.0,132
349,Hand Management,2010,6283.0,151
350,Hand Management,2011,6510.0,178
351,Hand Management,2012,7253.0,222
352,Hand Management,2013,7059.0,213
353,Hand Management,2014,7068.0,297
354,Hand Management,2015,6460.0,287
355,Hand Management,2016,6650.0,328
356,Hand Management,2017,6656.0,314
357,Hand Management,2018,6406.0,242
358,Hand Management,2019,6239.0,48
359,Hand Management,2020,9319.0,1
360,Hex-and-Counter,1981,9672.0,60
361,Hex-and-Counter,1982,10678.0,37
