,type,year,average_rank,amount
213,Children's Game,1994,12921.0,11
214,Children's Game,1995,11190.0,17
215,Children's Game,1996,14019.0,21
216,Children's Game,1997,11100.0,15
217,Children's Game,1998,13715.0,11
218,Children's Game,1999,12910.0,22
219,Children's Game,2000,13141.0,29
220,Children's Game,2001,12689.0,28
221,Children's Game,2002,13077.0,34
222,Children's Game,2003,11358.0,29
223,Children's Game,2004,11990.0,36
224,Children's Game,2005,12212.0,36
225,Children's Game,2006,11188.0,27
226,Children's Game,2007,10905.0,38
227,Children's Game,2008,11078.0,43
228,Children's Game,2009,10501.0,50
229,Children's Game,2010,10438.0,54
230,Children's Game,2011,10932.0,57
231,Children's Game,2012,10579.0,50
232,Children's Game,2013,10311.0,45
233,Children's Game,2014,11754.0,52
234,Children's Game,2015,9793.0,46
235,Children's Game,2016,8543.0,46
236,Children's Game,2017,7784.0,31
237,Children's Game,2018,7983.0,21
238,Children's Game,2019,9856.0,1
239,Children's Game,2020,9856.0,0
240,Deduction,1981,6938.0,4
241,Deduction,1982,9825.0,2
242,Deduction,1983,4743.0,2
243,Deduction,1984,8045.0,2
244,Deduction,1985,8422.0,10
245,Deduction,1986,8352.0,6
246,Deduction,1987,9713.0,9
247,Deduction,1988,7380.0,7
248,Deduction,1989,13305.0,5
249,Deduction,1990,13360.0,4
250,Deduction,1991,9842.0,4
251,Deduction,1992,6296.0,4
252,Deduction,1993,6254.0,5
253,Deduction,1994,11058.0,2
254,Deduction,1995,5656.0,4
255,Deduction,1996,12881.0,9
256,Deduction,1997,12867.0,6
257,Deduction,1998,14835.0,2
258,Deduction,1999,7850.0,9
259,Deduction,2000,10269.0,12
260,Deduction,2001,7874.0,8
261,Deduction,2002,6018.0,9
262,Deduction,2003,11081.0,9
263,Deduction,2004,7681.0,10
264,Deduction,2005,7086.0,12
265,Deduction,2006,12231.0,10
266,Deduction,2007,10437.0,20
267,Deduction,2008,9225.0,21
268,Deduction,2009,8443.0,30
269,Deduction,2010,7534.0,19
270,Deduction,2011,8476.0,24
271,Deduction,2012,6548.0,32
272,Deduction,2013,6835.0,48
273,Deduction,2014,6680.0,46
274,Deduction,2015,6484.0,70
275,Deduction,2016,6863.0,89
276,Deduction,2017,6064.0,85
277,Deduction,2018,6268.0,67
278,Deduction,2019,8578.0,7
279,Deduction,2020,8578.0,0
280,Dice,1981,13912.0,7
281,Dice,1982,13399.0,5
282,Dice,1983,13146.0,9
283,Dice,1984,15325.0,2
284,Dice,1985,11939.0,7
285,Dice,1986,11099.0,5
286,Dice,1987,16021.0,5
287,Dice,1988,14599.0,5
288,Dice,1989,11922.0,7
289,Dice,1990,11525.0,9
290,Dice,1991,11988.0,8
291,Dice,1992,9246.0,4
292,Dice,1993,13743.0,7
293,Dice,1994,10245.0,11
294,Dice,1995,10866.0,13
295,Dice,1996,13494.0,9
296,Dice,1997,13227.0,8
297,Dice,1998,12610.0,10
298,Dice,1999,12343.0,12
299,Dice,2000,11352.0,14
300,Dice,2001,13583.0,15
301,Dice,2002,9298.0,24
302,Dice,2003,10673.0,32
303,Dice,2004,12810.0,32
304,Dice,2005,9554.0,28
305,Dice,2006,8951.0,28
306,Dice,2007,10715.0,46
307,Dice,2008,9397.0,40
308,Dice,2009,8638.0,56
309,Dice,2010,8904.0,45
310,Dice,2011,9329.0,66
311,Dice,2012,8506.0,82
312,Dice,2013,8379.0,77
313,Dice,2014,8266.0,105
314,Dice,2015,6805.0,109
315,Dice,2016,7298.0,119
316,Dice,2017,6625.0,127
317,Dice,2018,6186.0,105
318,Dice,2019,5467.0,21
319,Dice,2020,5467.0,0
320,Economic,1981,10037.0,13
321,Economic,1982,11200.0,9
322,Economic,1983,13144.0,9
323,Economic,1984,9279.0,6
324,Economic,1985,15304.0,8
325,Economic,1986,7053.0,7
326,Economic,1987,9289.0,9
327,Economic,1988,12699.0,7
328,Economic,1989,11328.0,8
329,Economic,1990,7071.0,6
330,Economic,1991,9507.0,9
331,Economic,1992,5868.0,11
332,Economic,1993,9480.0,6
333,Economic,1994,8038.0,10
334,Economic,1995,10166.0,8
335,Economic,1996,10736.0,17
336,Economic,1997,11219.0,16
337,Economic,1998,9641.0,19
338,Economic,1999,8529.0,22
339,Economic,2000,12731.0,17
340,Economic,2001,10067.0,25
341,Economic,2002,7055.0,26
342,Economic,2003,7312.0,22
343,Economic,2004,7017.0,32
344,Economic,2005,8128.0,35
345,Economic,2006,6660.0,30
346,Economic,2007,6429.0,45
347,Economic,2008,5743.0,29
348,Economic,2009,6042.0,50
349,Economic,2010,5005.0,65
350,Economic,2011,5126.0,53
351,Economic,2012,5477.0,64
352,Economic,2013,4725.0,69
353,Economic,2014,6251.0,55
354,Economic,2015,4996.0,81
355,Economic,2016,5588.0,61
356,Economic,2017,3988.0,73
357,Economic,2018,5266.0,53
358,Economic,2019,5938.0,11
359,Economic,2020,7184.0,1
360,Exploration,1981,9426.0,9
361,Exploration,1982,8055.0,4
362,Exploration,1983,7596.0,7
363,Exploration,1984,13357.0,3
364,Exploration,1985,2067.0,2
365,Exploration,1986,10482.0,6
366,Exploration,1987,11697.0,6
367,Exploration,1988,7092.0,4
368,Exploration,1989,7888.0,7
369,Exploration,1990,10891.0,5
370,Exploration,1991,12933.0,7
371,Exploration,1992,8304.0,6
372,Exploration,1993,10806.0,6
373,Exploration,1994,9226.0,5
374,Exploration,1995,6238.0,6
375,Exploration,1996,10928.0,8
376,Exploration,1997,9536.0,8
377,Exploration,1998,11602.0,4
378,Exploration,1999,3826.0,8
379,Exploration,2000,7733.0,5
380,Exploration,2001,9340.0,14
381,Exploration,2002,8692.0,15
382,Exploration,2003,9224.0,18
383,Exploration,2004,4821.0,21
384,Exploration,2005,6829.0,20
385,Exploration,2006,11027.0,21
386,Exploration,2007,7034.0,25
387,Exploration,2008,6197.0,22
388,Exploration,2009,6254.0,31
389,Exploration,2010,5737.0,29
390,Exploration,2011,5113.0,45
391,Exploration,2012,5622.0,33
392,Exploration,2013,5511.0,50
393,Exploration,2014,6008.0,39
394,Exploration,2015,6077.0,57
395,Exploration,2016,7179.0,52
396,Exploration,2017,4734.0,89
397,Exploration,2018,4676.0,72
398,Exploration,2019,5172.0,24
399,Exploration,2020,10428.0,3
400,Fantasy,1981,8250.0,12
401,Fantasy,1982,9870.0,12
402,Fantasy,1983,8772.0,11
403,Fantasy,1984,11660.0,6
404,Fantasy,1985,9377.0,8
405,Fantasy,1986,11167.0,11
406,Fantasy,1987,11984.0,6
407,Fantasy,1988,9588.0,9
408,Fantasy,1989,9109.0,9
409,Fantasy,1990,11045.0,8
410,Fantasy,1991,11371.0,14
411,Fantasy,1992,9570.0,9
412,Fantasy,1993,9495.0,13
413,Fantasy,1994,7972.0,9
414,Fantasy,1995,9196.0,17
415,Fantasy,1996,10412.0,9
416,Fantasy,1997,9318.0,11
417,Fantasy,1998,11378.0,12
418,Fantasy,1999,8780.0,9
419,Fantasy,2000,10622.0,24
420,Fantasy,2001,10319.0,34
421,Fantasy,2002,8306.0,33
422,Fantasy,2003,9109.0,52
423,Fantasy,2004,8236.0,42
424,Fantasy,2005,8389.0,55
425,Fantasy,2006,7982.0,41
426,Fantasy,2007,9090.0,47
427,Fantasy,2008,6855.0,48
428,Fantasy,2009,7187.0,52
429,Fantasy,2010,6182.0,55
430,Fantasy,2011,5855.0,93
431,Fantasy,2012,6597.0,95
432,Fantasy,2013,6399.0,93
433,Fantasy,2014,6276.0,129
434,Fantasy,2015,5686.0,175
435,Fantasy,2016,6241.0,194
436,Fantasy,2017,5480.0,185
437,Fantasy,2018,5845.0,176
438,Fantasy,2019,6257.0,48
439,Fantasy,2020,9772.0,2
440,Fighting,1981,8070.0,8
441,Fighting,1982,10749.0,7
442,Fighting,1983,8581.0,11
443,Fighting,1984,10443.0,1
